Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
6779158,4603627,21667.0,488.0,22155.0,0.0013353824615478516
6780979,4730179,45593.0,916.0,46509.0,0.0013384819030761719
6781389,4625714,24414.0,427.0,24841.0,0.0013418197631835938
6780939,4627496,48340.0,854.0,49194.0,0.0013937950134277344
6781856,4598703,27893.0,428.0,28321.0,0.0013303756713867188
6782474,4585402,19776.0,244.0,20020.0,0.001317739486694336
6782261,4618205,48278.0,671.0,48949.0,0.0013439655303955078
6783745,4604624,25025.0,366.0,25391.0,0.0013506412506103516
6783795,4567153,42297.0,611.0,42908.0,0.0013492107391357422
6783992,4600913,32654.0,427.0,33081.0,0.0013227462768554688
6785588,4596003,23559.0,305.0,23864.0,0.0013277530670166016
6786076,4584934,23620.0,306.0,23926.0,0.0013473033905029297
6786028,4674616,24536.0,366.0,24902.0,0.0013425350189208984
6787693,4630423,42481.0,610.0,43091.0,0.0013208389282226562
6788394,4615677,26123.0,366.0,26489.0,0.0013420581817626953
6788440,4632468,46569.0,855.0,47424.0,0.0013518333435058594
6788784,4568825,21607.0,366.0,21973.0,0.00135040283203125
6789124,4594294,22400.0,366.0,22766.0,0.0013666152954101562
6789027,4610086,22644.0,367.0,23011.0,0.0013413429260253906
6790112,4600118,28382.0,366.0,28748.0,0.001329183578491211
6790157,4573829,45593.0,732.0,46325.0,0.0013346672058105469
6790156,4585712,23376.0,305.0,23681.0,0.0013158321380615234
6790999,4597297,21912.0,306.0,22218.0,0.0013234615325927734
6792171,4602878,45471.0,610.0,46081.0,0.001321554183959961
6791513,4575001,24292.0,366.0,24658.0,0.0013155937194824219
6793196,4608093,42846.0,550.0,43396.0,0.0013248920440673828
6793941,4610425,26612.0,366.0,26978.0,0.0013420581817626953
6793756,4721927,49255.0,671.0,49926.0,0.0013246536254882812
6794985,4627508,27832.0,427.0,28259.0,0.0013625621795654297
6795700,4608803,33935.0,1038.0,34973.0,0.0014989376068115234
6795602,4649727,105530.0,5310.0,110840.0,0.0022246837615966797
6797289,4607728,79162.0,3906.0,83068.0,0.0016374588012695312
6796646,4574737,77576.0,3540.0,81116.0,0.0018198490142822266
6796083,4583049,71166.0,4090.0,75256.0,0.0019865036010742188
6797660,4606064,72571.0,3296.0,75867.0,0.0018887519836425781
6797732,4616737,69214.0,4333.0,73547.0,0.0019025802612304688
6797129,4635297,70739.0,3723.0,74462.0,0.0018868446350097656
6798368,4612805,71167.0,3662.0,74829.0,0.0018780231475830078
6799023,4587908,74219.0,4456.0,78675.0,0.0018372535705566406
6798593,4609287,72326.0,3357.0,75683.0,0.0017740726470947266
6799667,4572434,72510.0,4455.0,76965.0,0.0021114349365234375
6800398,4653922,70861.0,3479.0,74340.0,0.0020704269409179688
6800511,4627479,107544.0,4699.0,112243.0,0.0021164417266845703
6803401,4606340,66040.0,3357.0,69397.0,0.0019638538360595703
6803914,4582756,70129.0,3540.0,73669.0,0.0018072128295898438
6802587,4621712,73791.0,4517.0,78308.0,0.002007007598876953
6803643,4619824,70923.0,3601.0,74524.0,0.0018475055694580078
6804474,4579106,77759.0,4639.0,82398.0,0.0021517276763916016
6803204,5388421,104431.0,5798.0,110229.0,0.0020613670349121094
6804826,6983371,71411.0,5005.0,76416.0,0.002065896987915039
6804595,8418320,70068.0,3296.0,73364.0,0.0018184185028076172
6803973,6802377,69702.0,4394.0,74096.0,0.0020341873168945312
6805012,7986550,72509.0,3357.0,75866.0,0.0018029212951660156
6805551,7612624,65125.0,3784.0,68909.0,0.0021500587463378906
6805266,7753469,77026.0,4334.0,81360.0,0.0019316673278808594
6806530,8240436,68603.0,3479.0,72082.0,0.002088308334350586
6806827,7879452,73059.0,4394.0,77453.0,0.0018649101257324219
6807848,6891035,69336.0,3540.0,72876.0,0.0019767284393310547
6808309,7557185,63171.0,3845.0,67016.0,0.0022401809692382812
6809357,8454517,76111.0,3662.0,79773.0,0.0018901824951171875
6808436,7018363,77575.0,4395.0,81970.0,0.0022041797637939453
6810077,7341687,63782.0,3479.0,67261.0,0.0018231868743896484
6810681,7631293,80688.0,5798.0,86486.0,0.002282381057739258
6810909,8618689,66162.0,3662.0,69824.0,0.0018506050109863281
6810786,5607055,110779.0,7813.0,118592.0,0.002825021743774414
6811373,6839233,62500.0,3784.0,66284.0,0.002023458480834961
6810424,7851890,72265.0,4761.0,77026.0,0.002206563949584961
6811873,7980210,68115.0,3540.0,71655.0,0.002016782760620117
6812191,8093143,100952.0,6592.0,107544.0,0.002268075942993164
6811705,8172545,68176.0,3540.0,71716.0,0.0020842552185058594
6812938,7197398,63782.0,3967.0,67749.0,0.0019011497497558594
6813852,8646867,75439.0,4211.0,79650.0,0.0021638870239257812
6812792,7812849,67199.0,3601.0,70800.0,0.0019664764404296875
6814443,7334800,109680.0,4577.0,114257.0,0.0024275779724121094
6815090,8696161,74036.0,3601.0,77637.0,0.0017957687377929688
6815122,7792224,71228.0,4273.0,75501.0,0.0022122859954833984
6816118,7098355,75439.0,3235.0,78674.0,0.001857757568359375
6816852,6521326,103027.0,6775.0,109802.0,0.0024433135986328125
6817014,7655990,66467.0,3234.0,69701.0,0.0018346309661865234
6818269,8038563,69519.0,5127.0,74646.0,0.002464771270751953
6818133,7105041,70129.0,3357.0,73486.0,0.0017600059509277344
6817642,8413914,65735.0,2808.0,68543.0,0.0016236305236816406
6818754,8043251,26855.0,976.0,27831.0,0.0013852119445800781
6819235,7157945,30029.0,1404.0,31433.0,0.0015094280242919922
6818587,7429739,53039.0,2990.0,56029.0,0.0014042854309082031
6819982,7075680,22034.0,794.0,22828.0,0.0013561248779296875
6820457,8106798,20874.0,732.0,21606.0,0.0013394355773925781
6820138,7640391,23255.0,732.0,23987.0,0.0013251304626464844
6820617,7079529,23010.0,733.0,23743.0,0.0013325214385986328
6821898,8450952,47668.0,1648.0,49316.0,0.0013685226440429688
6821848,7010077,23010.0,671.0,23681.0,0.0013282299041748047
6823076,6337256,47180.0,1282.0,48462.0,0.0013701915740966797
6823451,5591313,25147.0,610.0,25757.0,0.0013298988342285156
6823714,6199437,23498.0,488.0,23986.0,0.0013566017150878906
6825290,4746171,25818.0,488.0,26306.0,0.0013382434844970703
6825886,4604450,24719.0,549.0,25268.0,0.0013256072998046875
6824409,4581771,44982.0,977.0,45959.0,0.0013427734375
6825528,4572272,29175.0,549.0,29724.0,0.0013358592987060547
6825680,4592362,42175.0,916.0,43091.0,0.0013270378112792969
6825254,4632800,23621.0,488.0,24109.0,0.001338958740234375
6826303,4593889,25757.0,488.0,26245.0,0.0013434886932373047
6826935,4624147,43701.0,977.0,44678.0,0.001329660415649414
6826626,4621873,21972.0,427.0,22399.0,0.0013341903686523438
6827788,4606221,54016.0,1160.0,55176.0,0.0014007091522216797
6827959,4596225,23621.0,549.0,24170.0,0.001367807388305664
6828122,4590114,44250.0,915.0,45165.0,0.0013535022735595703
6829549,4713944,24536.0,550.0,25086.0,0.001323699951171875
6830232,4661120,26856.0,488.0,27344.0,0.001329183578491211
6829741,4633531,41687.0,916.0,42603.0,0.0013267993927001953
6831442,4603515,20996.0,488.0,21484.0,0.0013337135314941406
6831824,4620916,44494.0,976.0,45470.0,0.0013387203216552734
6832037,4612299,24780.0,489.0,25269.0,0.0013320446014404297
6832254,4592349,22034.0,488.0,22522.0,0.0013146400451660156
6832793,4601564,46814.0,977.0,47791.0,0.0013275146484375
6832268,4615693,22461.0,366.0,22827.0,0.0013272762298583984
6833379,4619723,54382.0,1526.0,55908.0,0.0014407634735107422
6833430,4618488,27954.0,671.0,28625.0,0.0013933181762695312
6833197,4578257,48157.0,1160.0,49317.0,0.0014033317565917969
6834488,4610212,22827.0,549.0,23376.0,0.0013670921325683594
6835083,4588348,41626.0,854.0,42480.0,0.0013484954833984375
6834356,4698560,27282.0,550.0,27832.0,0.0013294219970703125
